datum	text
31.12.2023	V sekci kontrolních postupů vydán nový postup pro ukázku, jak si vést základní znalosti o byznysu úřadu.
12.12.2023	Do sekce metodik ke cloudu jsme přidali metodické materiály DIA k eGovernment cloudu. A zejména úřadům doporučujeme si je prostueovat.
7.12.2023	Informační koncepce aktualizována dle aktuální verze z listopadu 2023
29.9.2023	Přidali jsme odkaz z webu archi.gov.cz na publikované návody pro práci s AIS působnostním, naleznete je v sekci Údaje
18.9.2023	Nová sekce Bezpečnost a hned v ní první metodický dokument NÚKIBu a to dokument Průvodce řízením dodavatelů ve vztahu k hodnocení rizik kybernetické bezpečnosti
23.8.2023	Díky laskavému upozornění DIA jsme narazili ještě na pár míst v metodikách k legislativě, kde nebylo MV nahrazeno za DIA. Tedy jsme to opravili a děkujeme.
9.8.2023	Přidali jsme do metodik novou sekci Oblast Spisová služba, kde jsou metodiky k ESSL. Hodně se toho mění a MV dle našeho vzoru zpracovalo i detailní rozbory změn.
4.8.2023	Aktualizovali jsme kontrolní seznam pro tvorbu a správu Katalogu služeb úřadu dle posledních poznatků a dohody s OHA
27.4.2023	Teď se diagramy volají rovnou z našeho GIT repo, pokud je to možné. Takže už by se nemělo stávat, že se obrázek nenačte.
16.04.2023	Připravili jsme pro vás nový postup a to k technické realizaci sdílení údajů v propojeném datovém fondu. Najdete ho v sekci Postupy v části kontrolních postupů. Jde o první public verzi, připomínky vítány.
15.04.2023	Aby byl alespoň základní přehled co sem přibylo, je tu tahle sekce s novinkami. Hurá!
15.04.2023	Začali jsme sjednocovat všechny naše metodické a návodné zdroje z repozitáře egdilna/eg-postupy. To znamená, že je zde nová sekce Postupy a i naše kontrolní seznamy a postupy se budou jednotně a systematicky připravovat, aktualizovat a publikovat jen tady. Bohužel se tím změní adresy, ale to vyřešíme novým seznamem.
13.04.2023	IKČR v aktuální verzi je vždy na adrese https://metodiky.egdilna.cz/metodiky/strategie/ikcr
11.04.2023	Tak nějak poněkud nečekaně jsme z technických důvodů byli nuceni přejít rychle na nový předělaný web EG novinky. Nyní najdete vždy web na adrese metodiky.egdilna.cz a obsah odsud a sem by se měl (snad) propojovat s našimi ostatními weby. Tak nám držte palce.
